image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_03_1_fil_cr_ins_nmo_Char,YJ 1_03_1_fil_cr_ins_nmo_Char,https://www.instagram.com/p/CCrvcxNpEiF/,1,jpg,Charmes,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_nfit,YJ 1_04_1_fil_cr_ins_nmo_nfit,https://www.instagram.com/p/CCrwWLmpX2z/,1,jpg,nfit,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Clar,YJ 1_04_1_fil_cr_ins_nmo_Clar,https://www.instagram.com/p/CCrwg4UJTrD/,1,jpg,Clarendon,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Ging,YJ 1_04_1_fil_cr_ins_nmo_Ging,https://www.instagram.com/p/CCrwkphJPXJ/,1,jpg,Gingham,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Moon,YJ 1_04_1_fil_cr_ins_nmo_Moon,https://www.instagram.com/p/CCrws0oJFaU/,1,jpg,Moon,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Lark,YJ 1_04_1_fil_cr_ins_nmo_Lark,https://www.instagram.com/p/CCrw_AnpdsL/,1,jpg,Lark,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Reye,YJ 1_04_1_fil_cr_ins_nmo_Reye,https://www.instagram.com/p/CEDf0mlFJgA/,1,jpg,Reyes,original,iaslab_filt_0,
1_04_1_fil_cr_ins_nmo_Juno,YJ 1_04_1_fil_cr_ins_nmo_Juno,https://www.instagram.com/p/CCrxPFypxaA/,1,jpg,Juno,original,iaslab_filt_1,
1_04_1_fil_cr_ins_nmo_Slum,YJ 1_04_1_fil_cr_ins_nmo_Slum,https://www.instagram.com/p/CCrzDs6JWcx/,1,jpg,Slumber,original,iaslab_filt_2,
1_04_1_fil_cr_ins_nmo_Crem,YJ 1_04_1_fil_cr_ins_nmo_Crem,https://www.instagram.com/p/CCrzQKDpFRW/,1,jpg,Crema,original,iaslab_filt_2,
1_04_1_fil_cr_ins_nmo_Ludw,YJ 1_04_1_fil_cr_ins_nmo_Ludw,https://www.instagram.com/p/CCrzVwZpVge/,1,jpg,Ludwig,original,iaslab_filt_2,
1_04_1_fil_cr_ins_nmo_Aden,YJ 1_04_1_fil_cr_ins_nmo_Aden,https://www.instagram.com/p/CCrzaYAJyPT/,1,jpg,Aden,original,iaslab_filt_2,
1_04_1_fil_cr_ins_nmo_Perp,YJ 1_04_1_fil_cr_ins_nmo_Perp,https://www.instagram.com/p/CCrzd3oJBF3/,1,jpg,Perpetua,original,iaslab_filt_2,
